title,year,trakt_id,slug,imdb_id,tmdb_id,user_rating_trakt,user_rating_normalized,rated_at,plays,last_watched_at
Uncut Gems,2019,328678,uncut-gems-2019,tt5727208,473033,,,,1,2026-01-24T12:07:00.000Z
Hereditary,2018,340974,hereditary-2018,tt7784604,493922,,,,1,2026-01-24T12:14:00.000Z
Parasite,2019,343180,parasite-2019,tt6751668,496243,,,,1,2026-01-24T12:27:00.000Z
Triangle of Sadness,2022,344829,triangle-of-sadness-2022,tt7322224,497828,,,,1,2026-01-24T12:14:00.000Z
Dora and the Lost City of Gold,2019,346883,dora-and-the-lost-city-of-gold-2019,tt7547410,499701,,,,1,2026-03-22T01:16:00.000Z
Midsommar,2019,382491,midsommar-2019,tt8772262,530385,,,,1,2026-01-24T14:48:00.000Z
1917,2019,382862,1917-2019,tt8579674,530915,,,,1,2026-01-24T12:07:00.000Z
Everything Everywhere All at Once,2022,396092,everything-everywhere-all-at-once-2022,tt6710474,545611,,,,1,2025-03-09T14:19:00.000Z
Free Guy,2021,400704,free-guy-2021,tt6264654,550988,,,,1,2026-01-24T14:52:00.000Z
Gladiator II,2024,409281,gladiator-ii-2024,tt9218128,558449,,,,1,2026-01-24T14:51:00.000Z
The Green Knight,2021,410283,the-green-knight-2021,tt9243804,559907,,,,1,2026-01-24T12:29:00.000Z
Spider-Man: Across the Spider-Verse,2023,420606,spider-man-across-the-spider-verse-2023,tt9362722,569094,,,,1,2026-01-24T14:47:00.000Z
Tenet,2020,427989,tenet-2020,tt6723592,577922,,,,1,2026-01-24T14:49:00.000Z
Another Round,2020,429695,another-round-2020,tt10288566,580175,,,,1,2026-01-28T14:53:00.000Z
The Menu,2022,439843,the-menu-2022,tt9764362,593643,,,,1,2026-01-24T12:14:00.000Z
Palm Springs,2020,439986,palm-springs-2020,tt9484998,587792,,,,1,2026-02-04T19:07:00.000Z
Nobody,2021,458837,nobody-2021,tt7888964,615457,,,,1,2026-01-24T13:07:00.000Z
Babylon,2022,459051,babylon-2022,tt10640346,615777,,,,1,2026-01-24T12:13:00.000Z
The Northman,2022,478776,the-northman-2022,tt11138512,639933,,,,1,2026-01-24T12:13:00.000Z
Eddington,2025,485271,eddington-2025,tt31176520,648878,,,,1,2026-01-24T13:08:00.000Z
Glass Onion: A Knives Out Mystery,2022,495668,glass-onion-a-knives-out-mystery-2022,tt11564570,661374,,,,1,2026-01-24T12:14:00.000Z
The Banshees of Inisherin,2022,507545,the-banshees-of-inisherin-2022,tt11813216,674324,,,,1,2026-01-24T13:12:00.000Z
Dune: Part Two,2024,537449,dune-part-two-2024,tt15239678,693134,,,,1,2026-01-24T12:07:00.000Z
Mickey 17,2025,540151,mickey-17-2025,tt12299608,696506,,,,1,2026-01-24T14:53:00.000Z
Bugonia,2025,545111,bugonia-2025,tt12300742,701387,,,,1,2026-01-24T12:14:00.000Z
Evil Dead Rise,2023,556530,evil-dead-rise-2023,tt13345606,713704,,,,1,2026-01-24T12:14:00.000Z
Licorice Pizza,2021,560812,licorice-pizza-2021,tt11271038,718032,,,,1,2026-01-24T13:41:00.000Z
Bullet Train,2022,561702,bullet-train-2022,tt12593682,718930,,,,1,2026-01-24T13:07:00.000Z
Furiosa: A Mad Max Saga,2024,623532,furiosa-a-mad-max-saga-2024,tt12037194,786892,,,,1,2026-01-24T12:14:00.000Z
Poor Things,2023,628026,poor-things-2023,tt14230458,792307,,,,1,2026-01-24T12:28:00.000Z
The Killer,2023,635402,the-killer-2023,tt1136617,800158,,,,1,2026-01-24T12:14:00.000Z
The Holdovers,2023,671129,the-holdovers-2023,tt14849194,840430,,,,1,2026-01-24T12:08:00.000Z
Oppenheimer,2023,698292,oppenheimer-2023,tt15398776,872585,,,,1,2026-01-24T12:07:00.000Z
Society of the Snow,2023,725415,society-of-the-snow-2023,tt16277242,906126,,,,1,2026-01-24T12:14:00.000Z
Civil War,2024,745438,civil-war-2024,tt17279496,929590,,,,1,2026-01-24T12:13:00.000Z
The Substance,2024,748546,the-substance-2024,tt17526714,933260,,,,1,2026-01-24T12:13:00.000Z
Late Night with the Devil,2024,753560,late-night-with-the-devil-2024,tt14966898,938614,,,,1,2026-01-24T12:14:00.000Z
Alien: Romulus,2024,759944,alien-romulus-2024,tt18412256,945961,,,,1,2026-01-24T12:08:00.000Z
Aftersun,2022,775972,aftersun-2022,tt19770238,965150,,,,1,2026-01-24T12:28:00.000Z
Conclave,2024,783046,conclave-2024,tt20215234,974576,,,,1,2025-04-27T19:39:00.000Z
