title,year,trakt_id,slug,imdb_id,tmdb_id,user_rating_trakt,user_rating_normalized,rated_at,plays,last_watched_at
The Hobbit: An Unexpected Journey,2012,34097,the-hobbit-an-unexpected-journey-2012,tt0903624,49051,5,2.5,2026-01-24T13:06:04.000Z,,
Shaun of the Dead,2004,592,shaun-of-the-dead-2004,tt0365748,747,7,3.5,2026-01-24T13:05:59.000Z,,
Braindead,1992,606,braindead-1992,tt0103873,763,5,2.5,2026-01-24T12:37:07.000Z,,
Moon,2009,10655,moon-2009,tt1182345,17431,6,3.0,2026-01-24T12:36:57.000Z,,
Donnie Darko,2001,107,donnie-darko-2001,tt0246578,141,9,4.5,2026-01-24T12:36:48.000Z,,
Ex Machina,2015,163375,ex-machina-2015,tt0470752,264660,8,4.0,2026-01-24T12:30:11.000Z,,
Amélie,2001,157,amelie-2001,tt0211915,194,8,4.0,2026-01-24T12:30:06.000Z,,
Blade Runner,1982,48,blade-runner-1982,tt0083658,78,8,4.0,2026-01-24T12:30:03.000Z,,
Get Out,2017,264623,get-out-2017,tt5052448,419430,3,1.5,2026-01-24T12:29:57.000Z,,
Pan's Labyrinth,2006,947,pan-s-labyrinth-2006,tt0457430,1417,8,4.0,2026-01-24T12:29:31.000Z,,
Shutter Island,2010,6422,shutter-island-2010,tt1130884,11324,9,4.5,2026-01-24T12:29:14.000Z,,
Killers of the Flower Moon,2023,313884,killers-of-the-flower-moon-2023,tt5537002,466420,5,2.5,2026-01-24T12:29:02.000Z,,
La Haine,1995,324,la-haine-1995,tt0113247,406,8,4.0,2026-01-24T12:28:55.000Z,,
Aftersun,2022,775972,aftersun-2022,tt19770238,965150,2,1.0,2026-01-24T12:28:49.000Z,,
Poor Things,2023,628026,poor-things-2023,tt14230458,792307,7,3.5,2026-01-24T12:28:44.000Z,,
The Prestige,2006,851,the-prestige-2006,tt0482571,1124,7,3.5,2026-01-24T12:28:38.000Z,,
Reservoir Dogs,1992,392,reservoir-dogs-1992,tt0105236,500,6,3.0,2026-01-24T12:28:35.000Z,,
Forrest Gump,1994,9,forrest-gump-1994,tt0109830,13,8,4.0,2026-01-24T12:28:30.000Z,,
Interstellar,2014,102156,interstellar-2014,tt0816692,157336,10,5.0,2026-01-24T12:28:18.000Z,,
Parasite,2019,343180,parasite-2019,tt6751668,496243,8,4.0,2026-01-24T12:28:11.000Z,,
The Godfather,1972,196,the-godfather-1972,tt0068646,238,7,3.5,2026-01-24T12:28:08.000Z,,
The Lord of the Rings: The Return of the King (Extended),2003,209344,the-lord-of-the-rings-the-return-of-the-king-extended-2003,,328443,6,3.0,2026-01-24T12:25:28.000Z,,
The Killer,2023,635402,the-killer-2023,tt1136617,800158,6,3.0,2026-01-24T12:25:10.000Z,,
Uncut Gems,2019,328678,uncut-gems-2019,tt5727208,473033,8,4.0,2026-01-24T12:24:48.000Z,,
Gattaca,1997,625,gattaca-1997,tt0119177,782,8,4.0,2026-01-24T12:24:46.000Z,,
The Big Lebowski,1998,84,the-big-lebowski-1998,tt0118715,115,8,4.0,2026-01-24T12:24:41.000Z,,
The Notebook,2004,6173,the-notebook-2004,tt0332280,11036,5,2.5,2026-01-24T12:24:37.000Z,,
Fargo,1996,231,fargo-1996,tt0116282,275,9,4.5,2026-01-24T12:24:33.000Z,,
Life of Brian,1979,462,life-of-brian-1979,tt0079470,583,9,4.5,2026-01-24T12:24:30.000Z,,
Anora,2024,856080,anora-2024,tt28607951,1064213,7,3.5,2026-01-24T12:24:23.000Z,,
Sinners,2025,997581,sinners-2025,tt31193180,1233413,8,4.0,2026-01-24T12:24:20.000Z,,
Bring Her Back,2025,927248,bring-her-back-2025,tt32246771,1151031,7,3.5,2026-01-24T12:24:16.000Z,,
The Truman Show,1998,23734,the-truman-show-1998,tt0120382,37165,8,4.0,2026-01-24T12:24:07.000Z,,
Bugonia,2025,545111,bugonia-2025,tt12300742,701387,7,3.5,2026-01-24T12:24:02.000Z,,
Joker,2019,322988,joker-2019,tt7286456,475557,7,3.5,2026-01-24T12:23:59.000Z,,
Hereditary,2018,340974,hereditary-2018,tt7784604,493922,8,4.0,2026-01-24T12:23:20.000Z,,
Furiosa: A Mad Max Saga,2024,623532,furiosa-a-mad-max-saga-2024,tt12037194,786892,6,3.0,2026-01-24T12:23:15.000Z,,
Glass Onion: A Knives Out Mystery,2022,495668,glass-onion-a-knives-out-mystery-2022,tt11564570,661374,6,3.0,2026-01-24T12:23:12.000Z,,
The Grand Budapest Hotel,2014,83614,the-grand-budapest-hotel-2014,tt2278388,120467,7,3.5,2026-01-24T12:23:09.000Z,,
Arrival,2016,210803,arrival-2016,tt2543164,329865,9,4.5,2026-01-24T12:23:04.000Z,,
Longlegs,2024,991188,longlegs-2024,tt23468450,1226578,7,3.5,2026-01-24T12:23:01.000Z,,
Triangle of Sadness,2022,344829,triangle-of-sadness-2022,tt7322224,497828,8,4.0,2026-01-24T12:22:58.000Z,,
No Country for Old Men,2007,3798,no-country-for-old-men-2007,tt0477348,6977,9,4.5,2026-01-24T12:22:56.000Z,,
